,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
386,agadez,29,NE,1604805926,44,19.75,10.25,63.03,13.47
387,pisco,90,PE,1604805889,88,-13.7,-76.22,62.6,13.87
388,lagoa,28,PT,1604805927,72,39.05,-27.98,61.09,15.17
389,salinas,90,US,1604806315,66,36.68,-121.66,55.4,8.05
390,batagay,53,RU,1604806315,84,67.63,134.63,-23.06,1.5
391,celestun,33,MX,1604806315,86,20.87,-90.4,77.77,9.71
392,ratnagiri,0,IN,1604806315,63,16.98,73.3,82.15,8.48
393,canutama,44,BR,1604805960,90,-6.53,-64.38,75.06,0.38
394,mirabad,0,AF,1604806315,19,30.44,61.84,70.47,4.7
395,kultuk,67,RU,1604806315,71,51.72,103.7,39.58,4.74
396,adrar,0,MR,1604806315,21,20.5,-10.07,79.29,8.19
397,macamic,90,CA,1604806316,100,48.75,-79.0,42.8,5.82
398,qaqortoq,100,GL,1604805953,74,60.72,-46.03,28.4,4.7
399,raga,0,SS,1604806316,45,8.46,25.68,70.23,1.7
400,taoudenni,16,ML,1604805911,18,22.68,-3.98,77.5,9.17
401,segou,0,ML,1604806316,19,13.43,-6.22,73.15,8.14
402,calais,40,FR,1604806317,98,50.92,1.83,54.0,3.0
403,vila,98,PT,1604806317,95,42.03,-8.16,54.0,7.0
404,buique,34,BR,1604806317,85,-8.62,-37.16,68.02,10.29
405,san carlos de bariloche,40,AR,1604806097,58,-41.15,-71.31,53.6,2.24
406,nuuk,98,GL,1604805669,73,64.18,-51.72,21.2,14.99
407,bourail,89,NC,1604806317,62,-21.57,165.48,77.5,11.5
408,rafraf,100,TN,1604806317,77,37.19,10.18,62.6,3.36
409,harper,50,LR,1604805900,86,4.38,-7.72,78.15,5.93
410,matay,0,EG,1604806321,70,28.42,30.78,58.12,4.63
411,millinocket,90,US,1604805787,66,45.66,-68.71,53.6,4.7
412,homer,90,US,1604805921,80,59.64,-151.55,42.01,17.22
413,kiama,90,AU,1604806321,59,-34.68,150.87,63.0,9.17
414,ucluelet,0,CA,1604805930,50,48.93,-125.55,39.99,1.99
415,richards bay,0,ZA,1604805924,88,-28.78,32.04,72.84,4.0
416,ginda,0,IN,1604806322,27,30.69,78.49,62.29,4.09
417,neepawa,90,CA,1604805953,86,50.23,-99.47,28.4,18.34
418,ponta delgada,20,PT,1604805883,71,37.73,-25.67,57.2,5.82
419,thinadhoo,42,MV,1604805667,70,0.53,72.93,84.27,7.36
420,pauini,20,BR,1604806098,76,-7.71,-66.98,76.51,2.44
421,port-gentil,100,GA,1604806322,86,-0.72,8.78,78.53,11.72
422,erzin,0,TR,1604805982,52,36.96,36.2,60.01,8.99
423,tatarsk,100,RU,1604806322,78,55.22,75.98,40.64,15.59
424,bonito,0,BR,1604806322,43,-21.12,-56.48,75.67,2.37
425,kirakira,63,SB,1604806323,77,-10.45,161.92,83.28,6.85
426,kuryk,94,KZ,1604806323,68,43.2,51.65,49.84,17.09
427,san rafael,2,AR,1604806323,39,-34.62,-68.33,71.26,8.5
428,langarud,90,IR,1604806323,100,37.2,50.15,60.8,6.93
429,sept-iles,2,CA,1604805700,68,50.2,-66.38,26.6,3.36
430,peniche,56,PT,1604806323,85,39.36,-9.38,64.0,15.01
431,lindi,81,TZ,1604806324,81,-10.0,39.72,78.37,3.04
432,waipawa,100,NZ,1604805935,81,-41.41,175.52,51.8,33.33
433,balkanabat,100,TM,1604806324,70,39.51,54.37,54.61,8.75
434,riverton,75,US,1604806283,93,40.52,-111.94,44.01,10.29
435,sangar,81,RU,1604805938,89,63.92,127.47,-10.19,5.3
436,llanes,48,ES,1604806324,64,43.42,-4.75,64.99,8.99
437,narsaq,100,GL,1604805977,74,60.92,-46.05,28.4,4.7
438,kieta,88,PG,1604806325,73,-6.22,155.63,82.92,2.06
439,bambanglipuro,81,ID,1604806325,64,-7.95,110.28,85.77,10.63
440,bilibino,100,RU,1604806074,91,68.05,166.44,1.15,1.86
441,yuanping,0,CN,1604806325,39,38.72,112.76,48.58,1.74
442,labuhan,35,ID,1604805983,59,-6.88,112.21,87.98,2.55
443,coahuayana,74,MX,1604806325,86,18.73,-103.68,75.18,2.06
444,krasnystaw,90,PL,1604806326,100,50.98,23.17,43.0,6.93
445,pasni,0,PK,1604805976,44,25.26,63.47,75.99,4.74
446,amarkantak,0,IN,1604806326,31,22.67,81.75,68.56,5.64
447,batangafo,100,CF,1604806326,70,7.3,18.28,70.54,3.38
448,iracoubo,0,GF,1604806326,82,5.48,-53.2,78.57,13.96
449,gunjur,5,GM,1604806327,74,13.2,-16.73,80.6,6.93
450,trairi,74,BR,1604806061,78,-3.28,-39.27,79.32,12.06
451,sur,0,OM,1604806327,56,22.57,59.53,79.9,2.44
452,rota,0,ES,1604806327,93,36.62,-6.36,57.99,5.82
453,yamoussoukro,75,CI,1604806327,94,6.82,-5.28,69.8,2.57
454,yueyang,0,CN,1604806328,37,29.33,113.09,70.61,10.89
455,visby,91,SE,1604806328,87,57.64,18.3,50.0,13.87
456,aktau,75,KZ,1604806328,87,43.65,51.2,44.6,8.95
457,denpasar,0,ID,1604806331,64,-8.65,115.22,84.33,6.62
458,bloomingdale,75,US,1604806331,69,27.89,-82.24,77.0,9.17
459,hobyo,32,SO,1604805940,79,5.35,48.53,79.27,10.58
460,sinnamary,5,GF,1604806332,83,5.38,-52.95,78.49,13.91
461,leninskoye,100,KZ,1604806332,25,41.76,69.39,60.8,2.24
462,aitape,58,PG,1604806063,73,-3.14,142.35,83.7,3.53
463,baykit,100,RU,1604805963,97,61.67,96.37,29.97,4.36
464,codrington,0,AU,1604805918,67,-38.27,141.97,63.05,10.65
465,fortuna,75,US,1604805952,93,40.6,-124.16,51.01,10.29
466,hamilton,1,US,1604805748,54,39.18,-84.53,60.01,4.7
467,atbasar,100,KZ,1604806333,72,51.8,68.33,41.56,20.51
468,odesskoye,100,RU,1604806333,82,54.21,72.97,44.6,18.25
469,nanortalik,100,GL,1604805935,97,60.14,-45.24,29.37,14.61
470,shitanjing,0,CN,1604806333,40,39.23,106.34,50.14,5.84
471,banyliv,0,UA,1604806333,80,48.37,25.35,42.93,1.39
472,aswan,89,EG,1604805926,49,24.09,32.91,65.44,5.08
473,pontianak,76,ID,1604806334,56,-0.03,109.33,91.18,1.97
474,saint anthony,1,US,1604806334,63,45.02,-93.22,64.99,19.46
475,sao luiz gonzaga,0,BR,1604806334,78,-28.41,-54.96,66.49,9.6
476,tiksi,69,RU,1604805880,92,71.69,128.87,-6.02,2.3
477,eureka,4,US,1604806120,46,40.8,-124.16,51.01,5.99
478,puerto colombia,20,CO,1604806335,94,10.99,-74.95,77.0,3.36
479,zabol,8,AF,1604806335,28,32.25,67.25,56.41,2.95
480,quang ngai,79,VN,1604806335,74,15.12,108.8,79.5,13.4
481,kathua,0,IN,1604806335,19,32.37,75.52,74.53,2.57
482,klaksvik,82,FO,1604805943,86,62.23,-6.59,41.0,6.93
483,mugur-aksy,1,RU,1604806336,89,50.35,90.5,29.89,5.7
484,elko,90,US,1604805970,80,41.0,-115.5,34.0,11.41
485,skerries,75,IE,1604806336,93,53.58,-6.11,53.6,9.17
486,boyolangu,74,ID,1604806336,64,-8.12,111.89,85.23,6.58
487,sterling,1,US,1604806268,81,39.01,-77.43,54.0,2.77
488,bratsk,90,RU,1604806336,100,56.13,101.61,35.6,8.95
489,maine-soroa,0,NE,1604806336,36,13.21,12.02,69.78,8.9
490,puerto madryn,100,AR,1604805949,61,-42.77,-65.04,61.27,19.69
491,waddan,1,LY,1604806337,93,29.16,16.14,55.56,7.49
492,clarence town,90,AU,1604806337,59,-32.58,151.78,69.01,16.11
493,portland,89,US,1604805854,87,45.52,-122.68,42.01,3.0
494,batemans bay,18,AU,1604806337,57,-35.72,150.18,64.0,1.99
495,polson,100,US,1604806075,40,47.69,-114.16,35.01,11.99
496,marawi,39,PH,1604806338,75,8.0,124.29,84.0,5.99
497,kayerkan,75,RU,1604805978,85,69.35,87.76,19.4,20.13
498,anamur,0,TR,1604806338,32,36.08,32.84,66.2,8.05
499,beisfjord,91,NO,1604806338,94,68.38,17.6,28.99,21.99
500,owando,90,CG,1604806339,99,-0.48,15.9,69.64,1.59
501,half moon bay,90,US,1604805974,76,37.46,-122.43,53.6,16.11
502,saint-louis,38,SN,1604806342,28,16.33,-15.0,86.25,11.45
503,kankon,0,IN,1604806342,62,15.02,74.02,84.2,10.29
504,karaton,75,ID,1604806342,62,-6.34,106.1,89.6,4.7
505,domoni,89,KM,1604806343,76,-12.26,44.53,80.22,6.11
506,cabo san lucas,5,MX,1604805774,83,22.89,-109.91,78.01,5.82
507,wattegama,20,LK,1604806343,100,6.8,81.48,78.8,4.7
508,nakhon si thammarat,75,TH,1604806343,84,8.25,100.0,86.0,4.7
509,itarema,70,BR,1604806343,79,-2.92,-39.92,78.85,14.83
510,tchibanga,99,GA,1604806343,99,-2.85,11.03,71.33,0.43
511,souillac,75,MU,1604805897,88,-20.52,57.52,73.4,9.17
512,drayton valley,100,CA,1604806344,88,53.22,-114.99,18.0,7.0
513,santo antonio do leverger,0,BR,1604806344,48,-15.87,-56.08,87.8,3.36
514,gweta,0,BW,1604806344,33,-20.18,25.23,82.42,8.23
515,deputatskiy,99,RU,1604805939,93,69.3,139.9,-3.89,3.62
516,balclutha,0,NZ,1604806344,44,-46.23,169.75,55.99,15.99
517,oxbow,18,CA,1604806345,92,49.23,-102.17,28.0,13.0
518,timmins,90,CA,1604806312,100,48.47,-81.33,41.0,3.36
519,costa rica,9,BR,1604806345,48,-23.42,-54.65,72.95,4.45
520,brewster,1,US,1604806345,87,41.4,-73.62,55.0,3.11
521,camana,23,PE,1604806345,80,-16.62,-72.71,62.76,7.0
522,caravelas,100,BR,1604806345,95,-17.71,-39.25,73.92,3.71
523,natori,75,JP,1604806345,30,38.17,140.88,68.0,23.04
524,chunhuhub,48,MX,1604806346,98,19.55,-88.68,72.32,3.85
525,zenzeli,0,RU,1604806346,77,45.92,47.05,41.38,12.8
526,vondrozo,56,MG,1604806346,90,-22.82,47.28,66.54,4.07
527,tutoia,0,BR,1604806346,76,-2.76,-42.27,80.67,15.32
528,shush,66,IR,1604806346,39,32.19,48.24,72.0,7.25
529,abnub,0,EG,1604806346,62,27.27,31.15,59.0,4.7
530,george,0,ZA,1604806347,87,-33.96,22.46,57.2,3.36
531,cap malheureux,20,MU,1604805884,85,-19.98,57.61,71.01,8.99
532,bud,1,US,1604806347,66,39.45,-86.18,55.99,3.36
533,weligama,16,LK,1604805917,75,5.97,80.42,82.78,3.42
534,tarko-sale,100,RU,1604805944,94,64.92,77.78,32.0,13.11
535,barquisimeto,99,VE,1604806347,100,10.07,-69.32,64.4,3.36
536,pospelikha,78,RU,1604806348,48,51.95,81.77,48.65,22.77
